0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,0,4,10,13,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,11,35,37,51,45,86,99,63,69,44,45,52,45,47,51,56,58,55,59,81,121,99,134,129,123,132,124,89,101,113,113,113,96,59,55,50,27,38,22,34,26,25,22,17,20,29,23,19,9,5,2,3,1,3,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,5,12,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,7,21,25,44,38,67,81,73,76,60,67,53,38,48,32,44,67,64,56,50,77,97,119,109,108,141,131,147,114,109,109,104,113,88,70,62,51,34,28,26,28,21,24,14,14,30,16,27,11,20,9,2,0,1,1,2,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,6,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,30,41,49,62,86,66,73,81,49,54,38,57,43,46,56,45,67,57,80,92,113,121,135,135,139,115,125,106,106,116,87,88,80,55,44,40,28,27,18,25,26,21,22,14,14,29,22,12,10,4,3,4,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,4,9,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,21,34,34,46,55,73,78,88,59,59,42,38,47,54,49,57,50,70,59,87,90,112,123,139,103,138,137,100,128,118,111,106,79,57,56,49,42,32,14,22,33,23,24,20,21,22,18,18,10,9,4,5,1,2,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,4,9,11,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,28,37,56,65,84,80,55,69,61,44,45,35,44,48,56,66,64,46,71,101,118,124,122,131,144,133,89,129,128,124,95,81,66,51,46,35,26,25,34,17,21,20,16,23,24,29,14,12,11,0,2,3,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,5,5,13,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,19,24,40,43,45,83,91,93,60,48,45,51,39,55,60,60,70,53,70,77,119,97,118,107,135,166,138,119,131,122,107,85,84,55,58,44,29,28,18,20,16,17,29,30,18,22,11,5,7,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,9,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,18,24,45,44,52,68,82,79,54,68,57,57,42,41,56,47,65,56,51,81,114,121,130,115,154,127,140,129,115,111,112,109,73,56,59,42,30,33,23,34,14,17,27,22,20,20,17,6,2,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,6,15,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,19,39,41,54,76,85,82,73,58,42,50,45,44,53,74,56,59,58,74,109,129,116,114,146,141,129,117,115,146,129,100,68,53,47,49,29,24,24,28,25,18,20,21,29,21,8,7,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,8,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,38,36,41,55,72,85,81,59,54,59,37,41,47,57,69,55,69,63,81,92,108,138,128,120,157,131,129,122,123,111,110,64,48,56,30,29,40,22,24,21,28,24,28,30,17,10,6,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,7,12,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,23,42,44,59,64,81,98,55,55,51,51,55,36,46,62,53,58,75,83,111,122,113,129,152,122,123,119,120,147,111,80,73,67,52,34,39,37,23,30,28,23,16,24,22,19,10,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
